actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
Richard Burgi,Valerie Cruz,Will Beinbrink,David R. Ellis,Action|Crime|Thriller,cellular,Richard Burgi Valerie Cruz Will Beinbrink David R. Ellis Action|Crime|Thriller
Kevin McNally,Natalie Imbruglia,Ben Miller,Peter Howitt,Action|Adventure|Comedy,johnny english,Kevin McNally Natalie Imbruglia Ben Miller Peter Howitt Action|Adventure|Comedy
Nicolas Cage,Meryl Streep,Julia Roberts,John A. Davis,Adventure|Animation|Comedy|Family|Fantasy,the ant bully,Nicolas Cage Meryl Streep Julia Roberts John A. Davis Adventure|Animation|Comedy|Family|Fantasy
Virginia Madsen,Jürgen Prochnow,José Ferrer,David Lynch,Action|Adventure|Sci-Fi,dune,Virginia Madsen Jürgen Prochnow José Ferrer David Lynch Action|Adventure|Sci-Fi
Jim Sturgess,T.V. Carpio,Robert Clohessy,Julie Taymor,Drama|Fantasy|Musical|Romance,across the universe,Jim Sturgess T.V. Carpio Robert Clohessy Julie Taymor Drama|Fantasy|Musical|Romance
Leonardo DiCaprio,Kate Winslet,Joe Komara,Sam Mendes,Drama|Romance,revolutionary road,Leonardo DiCaprio Kate Winslet Joe Komara Sam Mendes Drama|Romance
Bruce Willis,David Zayas,Sasha Roiz,Richard Donner,Action|Crime|Drama|Thriller,16 blocks,Bruce Willis David Zayas Sasha Roiz Richard Donner Action|Crime|Drama|Thriller
Vin Diesel,Charlotte Rampling,David Belle,Mathieu Kassovitz,Action|Adventure|Sci-Fi|Thriller,babylon a.d.,Vin Diesel Charlotte Rampling David Belle Mathieu Kassovitz Action|Adventure|Sci-Fi|Thriller
Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,John Gray,Action|Comedy|Crime|Drama|Thriller,the glimmer man,Alexa PenaVega Bob Gunton Keenen Ivory Wayans John Gray Action|Comedy|Crime|Drama|Thriller
John de Lancie,Brian Doyle-Murray,Obba Babatundé,Harold Ramis,Comedy|Romance|Sci-Fi,multiplicity,John de Lancie Brian Doyle-Murray Obba Babatundé Harold Ramis Comedy|Romance|Sci-Fi
Malese Jow,Carter Jenkins,Tim Meadows,John Schultz,Adventure|Comedy|Family|Fantasy|Sci-Fi,aliens in the attic,Malese Jow Carter Jenkins Tim Meadows John Schultz Adventure|Comedy|Family|Fantasy|Sci-Fi
Costas Mandylor,Adrien Dorval,Nels Lennarson,Sean Penn,Crime|Drama|Mystery|Thriller,the pledge,Costas Mandylor Adrien Dorval Nels Lennarson Sean Penn Crime|Drama|Mystery|Thriller
Jon Lovitz,Will Ferrell,Matthew Broderick,Susan Stroman,Comedy|Musical,the producers,Jon Lovitz Will Ferrell Matthew Broderick Susan Stroman Comedy|Musical
Wood Harris,Jason Cope,Rakie Ayola,Pete Travis,Action|Sci-Fi,dredd,Wood Harris Jason Cope Rakie Ayola Pete Travis Action|Sci-Fi
Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,Simon Wincer,Action|Adventure|Comedy|Fantasy,the phantom,Cary-Hiroyuki Tagawa Treat Williams Kristy Swanson Simon Wincer Action|Adventure|Comedy|Fantasy
Matt Damon,Henry Thomas,Sam Shepard,Billy Bob Thornton,Drama|Romance|Western,all the pretty horses,Matt Damon Henry Thomas Sam Shepard Billy Bob Thornton Drama|Romance|Western
Anthony Hopkins,Bob Hoskins,Joan Allen,Oliver Stone,Biography|Drama|History,nixon,Anthony Hopkins Bob Hoskins Joan Allen Oliver Stone Biography|Drama|History
Jim Belushi,Olivia Williams,Timothy Hutton,Roman Polanski,Mystery|Thriller,the ghost writer,Jim Belushi Olivia Williams Timothy Hutton Roman Polanski Mystery|Thriller
Djimon Hounsou,Jason Flemyng,Wes Studi,Stephen Sommers,Action|Adventure|Horror|Sci-Fi,deep rising,Djimon Hounsou Jason Flemyng Wes Studi Stephen Sommers Action|Adventure|Horror|Sci-Fi
Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,Spike Lee,Action|Crime|Drama|Thriller|War,miracle at st. anna,Joseph Gordon-Levitt Omari Hardwick Laz Alonso Spike Lee Action|Crime|Drama|Thriller|War
Li Gong,Ye Liu,Man Li,Yimou Zhang,Drama|Romance,curse of the golden flower,Li Gong Ye Liu Man Li Yimou Zhang Drama|Romance
Nicolas Cage,Charlie Yeung,James With,Danny Pang,Action|Crime|Thriller,bangkok dangerous,Nicolas Cage Charlie Yeung James With Danny Pang Action|Crime|Thriller
Zooey Deschanel,Janeane Garofalo,Omar Epps,Barry Sonnenfeld,Comedy|Crime|Thriller,big trouble,Zooey Deschanel Janeane Garofalo Omar Epps Barry Sonnenfeld Comedy|Crime|Thriller
Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,Mike Newell,Drama|Romance,love in the time of cholera,Marcela Mar Giovanna Mezzogiorno Unax Ugalde Mike Newell Drama|Romance
Pierre Perrier,Clotilde Hesme,Céline Sallette,unknown,Drama|Fantasy|Horror|Mystery,the returned            ,Pierre Perrier Clotilde Hesme Céline Sallette unknown Drama|Fantasy|Horror|Mystery
Sam Waterston,Ben Gazzara,Nicholas Turturro,George P. Cosmatos,Action|Thriller,shadow conspiracy,Sam Waterston Ben Gazzara Nicholas Turturro George P. Cosmatos Action|Thriller
Daniel Kaluuya,Tim McInnerny,Togo Igawa,Oliver Parker,Action|Adventure|Comedy|Crime,johnny english reborn,Daniel Kaluuya Tim McInnerny Togo Igawa Oliver Parker Action|Adventure|Comedy|Crime
Jerry Stiller,Larry Miller,Harvey Fierstein,Lawrence Kasanoff,Action|Animation|Comedy|Family|Fantasy,foodfight!,Jerry Stiller Larry Miller Harvey Fierstein Lawrence Kasanoff Action|Animation|Comedy|Family|Fantasy
Clea DuVall,Scoot McNairy,Tate Donovan,Ben Affleck,Biography|Drama|History|Thriller,argo,Clea DuVall Scoot McNairy Tate Donovan Ben Affleck Biography|Drama|History|Thriller
Harrison Ford,Daniel Roebuck,Sela Ward,Andrew Davis,Action|Adventure|Crime|Drama|Mystery|Thriller,the fugitive,Harrison Ford Daniel Roebuck Sela Ward Andrew Davis Action|Adventure|Crime|Drama|Mystery|Thriller
Gerard Butler,Dorian Missick,Peter Greene,Andy Tennant,Action|Comedy|Romance,the bounty hunter,Gerard Butler Dorian Missick Peter Greene Andy Tennant Action|Comedy|Romance
Robert De Niro,Brad Pitt,Minnie Driver,Barry Levinson,Crime|Drama|Thriller,sleepers,Robert De Niro Brad Pitt Minnie Driver Barry Levinson Crime|Drama|Thriller
Sylvester Stallone,Julia Nickson,Martin Kove,George P. Cosmatos,Action|Adventure|Thriller|War,rambo: first blood part ii,Sylvester Stallone Julia Nickson Martin Kove George P. Cosmatos Action|Adventure|Thriller|War
Joseph Gordon-Levitt,Demi Moore,Anne Heche,Brian Gibson,Drama|Thriller,the juror,Joseph Gordon-Levitt Demi Moore Anne Heche Brian Gibson Drama|Thriller
Mel Blanc,Dickie Jones,Cliff Edwards,Norman Ferguson,Animation|Family|Fantasy|Musical,pinocchio,Mel Blanc Dickie Jones Cliff Edwards Norman Ferguson Animation|Family|Fantasy|Musical
Jeff Bridges,Sam Waterston,Isabelle Huppert,Michael Cimino,Adventure|Drama|Western,heaven's gate,Jeff Bridges Sam Waterston Isabelle Huppert Michael Cimino Adventure|Drama|Western
Sophia Myles,Tony Curran,Derek Jacobi,Len Wiseman,Action|Adventure|Fantasy|Sci-Fi|Thriller,underworld: evolution,Sophia Myles Tony Curran Derek Jacobi Len Wiseman Action|Adventure|Fantasy|Sci-Fi|Thriller
Daniel Radcliffe,Spencer Wilding,Daniel Mays,Paul McGuigan,Drama|Horror|Sci-Fi|Thriller,victor frankenstein,Daniel Radcliffe Spencer Wilding Daniel Mays Paul McGuigan Drama|Horror|Sci-Fi|Thriller
F. Murray Abraham,Rob Brown,Michael Nouri,Gus Van Sant,Drama,finding forrester,F. Murray Abraham Rob Brown Michael Nouri Gus Van Sant Drama
Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,Betty Thomas,Comedy|Drama,28 days,Steve Buscemi Viggo Mortensen Elizabeth Perkins Betty Thomas Comedy|Drama
Morgan Freeman,Jet Li,Bob Hoskins,Louis Leterrier,Action|Crime|Drama|Thriller,unleashed,Morgan Freeman Jet Li Bob Hoskins Louis Leterrier Action|Crime|Drama|Thriller
Judith Chapman,Lillian Adams,Chelsea Bond,Roger Kumble,Comedy|Romance,the sweetest thing,Judith Chapman Lillian Adams Chelsea Bond Roger Kumble Comedy|Romance
Tom Cruise,Holly Hunter,Wilford Brimley,Sydney Pollack,Drama|Mystery|Thriller,the firm,Tom Cruise Holly Hunter Wilford Brimley Sydney Pollack Drama|Mystery|Thriller
Augustus Prew,Charlie Tahan,Valerie Tian,Burr Steers,Drama|Fantasy|Romance,charlie st. cloud,Augustus Prew Charlie Tahan Valerie Tian Burr Steers Drama|Fantasy|Romance
Jason Statham,Tony Goldwyn,Mini Anden,Simon West,Action|Crime|Thriller,the mechanic,Jason Statham Tony Goldwyn Mini Anden Simon West Action|Crime|Thriller
Channing Tatum,Dax Flame,Rob Riggle,Phil Lord,Action|Comedy|Crime,21 jump street,Channing Tatum Dax Flame Rob Riggle Phil Lord Action|Comedy|Crime
Julia Roberts,Clarke Peters,Dylan Moran,Roger Michell,Comedy|Drama|Romance,notting hill,Julia Roberts Clarke Peters Dylan Moran Roger Michell Comedy|Drama|Romance
Imelda Staunton,Miranda Richardson,Julia Sawalha,Peter Lord,Adventure|Animation|Comedy|Drama|Family,chicken run,Imelda Staunton Miranda Richardson Julia Sawalha Peter Lord Adventure|Animation|Comedy|Drama|Family
Philip Seymour Hoffman,Masi Oka,Debra Messing,John Hamburg,Comedy|Romance,along came polly,Philip Seymour Hoffman Masi Oka Debra Messing John Hamburg Comedy|Romance
John Witherspoon,Eartha Kitt,Geoffrey Holder,Reginald Hudlin,Comedy|Drama|Romance,boomerang,John Witherspoon Eartha Kitt Geoffrey Holder Reginald Hudlin Comedy|Drama|Romance
Michael Rapaport,William Xifaras,Demián Bichir,Paul Feig,Action|Comedy|Crime,the heat,Michael Rapaport William Xifaras Demián Bichir Paul Feig Action|Comedy|Crime
Martin Landau,Richard Burton,Roddy McDowall,Joseph L. Mankiewicz,Biography|Drama|History|Romance,cleopatra,Martin Landau Richard Burton Roddy McDowall Joseph L. Mankiewicz Biography|Drama|History|Romance
Salma Hayek,Reggie Lee,Charice,Frank Coraci,Action|Comedy|Sport,here comes the boom,Salma Hayek Reggie Lee Charice Frank Coraci Action|Comedy|Sport
Morgan Freeman,Adam Scott,Bruce Davison,Carl Franklin,Crime|Drama|Mystery|Thriller,high crimes,Morgan Freeman Adam Scott Bruce Davison Carl Franklin Crime|Drama|Mystery|Thriller
Jeff Bridges,Austin Pendleton,Mimi Rogers,Barbra Streisand,Comedy|Drama|Romance,the mirror has two faces,Jeff Bridges Austin Pendleton Mimi Rogers Barbra Streisand Comedy|Drama|Romance
Debra Messing,Will Patton,David Eigenberg,Mark Pellington,Drama|Horror|Mystery|Thriller,the mothman prophecies,Debra Messing Will Patton David Eigenberg Mark Pellington Drama|Horror|Mystery|Thriller
Bono,Elton John,Slash,Larry Charles,Comedy,brüno,Bono Elton John Slash Larry Charles Comedy
Robert Davi,Talisa Soto,Anthony Zerbe,John Glen,Action|Adventure|Thriller,licence to kill,Robert Davi Talisa Soto Anthony Zerbe John Glen Action|Adventure|Thriller
Gary Oldman,Billy Burke,Virginia Madsen,Catherine Hardwicke,Fantasy|Horror|Mystery|Thriller,red riding hood,Gary Oldman Billy Burke Virginia Madsen Catherine Hardwicke Fantasy|Horror|Mystery|Thriller
Robert De Niro,Charlize Theron,Kelsey Grammer,John Herzfeld,Action|Crime|Drama|Thriller,15 minutes,Robert De Niro Charlize Theron Kelsey Grammer John Herzfeld Action|Crime|Drama|Thriller
Bob Hoskins,Fisher Stevens,Fiona Shaw,Annabel Jankel,Adventure|Comedy|Family|Fantasy|Sci-Fi,super mario bros.,Bob Hoskins Fisher Stevens Fiona Shaw Annabel Jankel Adventure|Comedy|Family|Fantasy|Sci-Fi
Nicolas Cage,Jeremy Crutchley,Jared Burke,Andrew Niccol,Crime|Drama|Thriller,lord of war,Nicolas Cage Jeremy Crutchley Jared Burke Andrew Niccol Crime|Drama|Thriller
Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Yimou Zhang,Action|Adventure|History,hero,Jet Li Tony Chiu Wai Leung Maggie Cheung Yimou Zhang Action|Adventure|History
Fisher Stevens,Debbie Reynolds,Patrick Fischler,Julie Anne Robinson,Action|Comedy|Crime|Romance|Thriller,one for the money,Fisher Stevens Debbie Reynolds Patrick Fischler Julie Anne Robinson Action|Comedy|Crime|Romance|Thriller
James Franco,Randall Park,Anders Holm,Evan Goldberg,Comedy,the interview,James Franco Randall Park Anders Holm Evan Goldberg Comedy
Tony Cox,Dong-gun Jang,Jed Brophy,Sngmoo Lee,Action|Fantasy|Western,the warrior's way,Tony Cox Dong-gun Jang Jed Brophy Sngmoo Lee Action|Fantasy|Western
Tim Conway,Gavin MacLeod,Bob Hastings,unknown,Comedy|War,mchale's navy            ,Tim Conway Gavin MacLeod Bob Hastings unknown Comedy|War
Omar Sy,Dany Boon,André Dussollier,Jean-Pierre Jeunet,Action|Comedy|Crime,micmacs,Omar Sy Dany Boon André Dussollier Jean-Pierre Jeunet Action|Comedy|Crime
Mekhi Phifer,Omar Benson Miller,Evan Jones,Curtis Hanson,Drama|Music,8 mile,Mekhi Phifer Omar Benson Miller Evan Jones Curtis Hanson Drama|Music
Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,Jamel Debbouze,Adventure|Animation|Comedy|Family,animal kingdom: let's go ape,Jamel Debbouze Youssef Hajdi Mélissa Theuriau Jamel Debbouze Adventure|Animation|Comedy|Family
Heath Ledger,Rufus Sewell,Bérénice Bejo,Brian Helgeland,Action|Adventure|Romance,a knight's tale,Heath Ledger Rufus Sewell Bérénice Bejo Brian Helgeland Action|Adventure|Romance
Julian Sands,Lee Evans,Anthony Chau-Sang Wong,Gordon Chan,Action|Comedy|Fantasy,the medallion,Julian Sands Lee Evans Anthony Chau-Sang Wong Gordon Chan Action|Comedy|Fantasy
Bruce Willis,Haley Joel Osment,Olivia Williams,M. Night Shyamalan,Drama|Mystery|Thriller,the sixth sense,Bruce Willis Haley Joel Osment Olivia Williams M. Night Shyamalan Drama|Mystery|Thriller
Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Asger Leth,Action|Crime|Thriller,man on a ledge,Robert Clohessy Mandy Gonzalez J. Smith-Cameron Asger Leth Action|Crime|Thriller
Joel McHale,Kevin Pollak,JoBeth Williams,David Frankel,Comedy,the big year,Joel McHale Kevin Pollak JoBeth Williams David Frankel Comedy
Martin Kove,William Zabka,William Bassett,John G. Avildsen,Action|Drama|Family|Sport,the karate kid,Martin Kove William Zabka William Bassett John G. Avildsen Action|Drama|Family|Sport
Jennifer Lawrence,Christian Bale,Bradley Cooper,David O. Russell,Crime|Drama,american hustle,Jennifer Lawrence Christian Bale Bradley Cooper David O. Russell Crime|Drama
Ryan Reynolds,Denis O'Hare,Craig T. Nelson,Anne Fletcher,Comedy|Drama|Romance,the proposal,Ryan Reynolds Denis O'Hare Craig T. Nelson Anne Fletcher Comedy|Drama|Romance
Bruce Greenwood,Annabeth Gish,Bruce Campbell,Bruce Beresford,Crime|Mystery|Thriller,double jeopardy,Bruce Greenwood Annabeth Gish Bruce Campbell Bruce Beresford Crime|Mystery|Thriller
Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Robert Zemeckis,Adventure|Comedy|Sci-Fi,back to the future part ii,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure|Comedy|Sci-Fi
Scarlett Johansson,Morgan Freeman,Amr Waked,Luc Besson,Action|Sci-Fi|Thriller,lucy,Scarlett Johansson Morgan Freeman Amr Waked Luc Besson Action|Sci-Fi|Thriller
Jennifer Ehle,Luke Grimes,Callum Rennie,Sam Taylor-Johnson,Drama|Romance,fifty shades of grey,Jennifer Ehle Luke Grimes Callum Rennie Sam Taylor-Johnson Drama|Romance
Sylvester Stallone,Salma Hayek,Alexa PenaVega,Robert Rodriguez,Action|Adventure|Comedy|Family|Sci-Fi,spy kids 3-d: game over,Sylvester Stallone Salma Hayek Alexa PenaVega Robert Rodriguez Action|Adventure|Comedy|Family|Sci-Fi
Kevin Spacey,Matthew McConaughey,Oliver Platt,Joel Schumacher,Crime|Drama|Thriller,a time to kill,Kevin Spacey Matthew McConaughey Oliver Platt Joel Schumacher Crime|Drama|Thriller
Tom Welling,Alyson Stoner,Bonnie Hunt,Shawn Levy,Comedy|Family,cheaper by the dozen,Tom Welling Alyson Stoner Bonnie Hunt Shawn Levy Comedy|Family
Jerry Ferrara,Scott Elrod,Dan Bilzerian,Peter Berg,Action|Biography|Drama|Thriller|War,lone survivor,Jerry Ferrara Scott Elrod Dan Bilzerian Peter Berg Action|Biography|Drama|Thriller|War
Tom Hanks,Lori Petty,Rosie O'Donnell,Penny Marshall,Comedy|Drama|Sport,a league of their own,Tom Hanks Lori Petty Rosie O'Donnell Penny Marshall Comedy|Drama|Sport
Javier Botet,Frances O'Connor,Robin Atkin Downes,James Wan,Horror|Mystery|Thriller,the conjuring 2,Javier Botet Frances O'Connor Robin Atkin Downes James Wan Horror|Mystery|Thriller
Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,David Fincher,Biography|Drama,the social network,Andrew Garfield Dustin Fitzsimons Marcella Lentz-Pope David Fincher Biography|Drama
Carmen Perez,Sabrina Revelle,Sachiko Ishida,Ken Kwapis,Comedy|Drama|Romance,he's just not that into you,Carmen Perez Sabrina Revelle Sachiko Ishida Ken Kwapis Comedy|Drama|Romance
Beau Mirchoff,Carmen Electra,Regina Hall,David Zucker,Comedy,scary movie 4,Beau Mirchoff Carmen Electra Regina Hall David Zucker Comedy
Kelly Rutherford,Roger Jackson,Nancy O'Dell,Wes Craven,Horror|Mystery,scream 3,Kelly Rutherford Roger Jackson Nancy O'Dell Wes Craven Horror|Mystery
Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Robert Zemeckis,Adventure|Comedy|Sci-Fi|Western,back to the future part iii,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure|Comedy|Sci-Fi|Western
Will Ferrell,Alison Brie,Craig T. Nelson,Etan Cohen,Comedy|Crime,get hard,Will Ferrell Alison Brie Craig T. Nelson Etan Cohen Comedy|Crime
Keanu Reeves,Anthony Hopkins,Gary Oldman,Francis Ford Coppola,Fantasy|Horror|Romance,bram stoker's dracula,Keanu Reeves Anthony Hopkins Gary Oldman Francis Ford Coppola Fantasy|Horror|Romance
Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito,Nora Ephron,Biography|Drama|Romance,julie & julia,Meryl Streep Mary Lynn Rajskub Vanessa Ferlito Nora Ephron Biography|Drama|Romance
Harrison Ford,Christopher Meloni,Nicole Beharie,Brian Helgeland,Biography|Drama|Sport,42,Harrison Ford Christopher Meloni Nicole Beharie Brian Helgeland Biography|Drama|Sport
Philip Seymour Hoffman,Matt Damon,Jack Davenport,Anthony Minghella,Crime|Drama|Thriller,the talented mr. ripley,Philip Seymour Hoffman Matt Damon Jack Davenport Anthony Minghella Crime|Drama|Thriller
Bill Murray,Kathleen Turner,Rob Riggle,Bobby Farrelly,Comedy,dumb and dumber to,Bill Murray Kathleen Turner Rob Riggle Bobby Farrelly Comedy
Paul Walker,Bruce Greenwood,Wendy Crewson,Frank Marshall,Adventure|Drama|Family,eight below,Paul Walker Bruce Greenwood Wendy Crewson Frank Marshall Adventure|Drama|Family
Robert De Niro,Anne Hathaway,Rene Russo,Nancy Meyers,Comedy|Drama,the intern,Robert De Niro Anne Hathaway Rene Russo Nancy Meyers Comedy|Drama
Olivia Munn,Nadine Velazquez,Bruce McGill,Tim Story,Action|Comedy,ride along 2,Olivia Munn Nadine Velazquez Bruce McGill Tim Story Action|Comedy
Wes Studi,Terry Kinney,Eric Schweig,Michael Mann,Action|Adventure|Drama|Romance|War,the last of the mohicans,Wes Studi Terry Kinney Eric Schweig Michael Mann Action|Adventure|Drama|Romance|War
Bokeem Woodbine,Curtis Armstrong,Harry Lennix,Taylor Hackford,Biography|Drama|Music,ray,Bokeem Woodbine Curtis Armstrong Harry Lennix Taylor Hackford Biography|Drama|Music
Rosario Dawson,Powers Boothe,Jason Douglas,Frank Miller,Crime|Thriller,sin city,Rosario Dawson Powers Boothe Jason Douglas Frank Miller Crime|Thriller
Dennis Quaid,Edgar Ramírez,William Hurt,Pete Travis,Crime|Drama|Mystery|Thriller,vantage point,Dennis Quaid Edgar Ramírez William Hurt Pete Travis Crime|Drama|Mystery|Thriller
J.K. Simmons,Jon Favreau,Jane Curtin,John Hamburg,Comedy|Romance,"i love you, man",J.K. Simmons Jon Favreau Jane Curtin John Hamburg Comedy|Romance
Jason Alexander,Bruce McGill,Susan Ward,Bobby Farrelly,Comedy|Drama|Fantasy|Romance,shallow hal,Jason Alexander Bruce McGill Susan Ward Bobby Farrelly Comedy|Drama|Fantasy|Romance
Sally Kirkland,Jay O. Sanders,Cheryl Penland,Oliver Stone,Drama|History|Thriller,jfk,Sally Kirkland Jay O. Sanders Cheryl Penland Oliver Stone Drama|History|Thriller
Chloë Grace Moretz,Nia Long,Marisol Nichols,John Whitesell,Comedy|Crime,big momma's house 2,Chloë Grace Moretz Nia Long Marisol Nichols John Whitesell Comedy|Crime
J.K. Simmons,Brad Pitt,Julia Roberts,Gore Verbinski,Adventure|Comedy|Crime|Romance,the mexican,J.K. Simmons Brad Pitt Julia Roberts Gore Verbinski Adventure|Comedy|Crime|Romance
Finn Wittrock,Jack O'Connell,Alex Russell,Angelina Jolie Pitt,Biography|Drama|Sport|War,unbroken,Finn Wittrock Jack O'Connell Alex Russell Angelina Jolie Pitt Biography|Drama|Sport|War
Matthew Perry,Hunter Parrish,Thomas Lennon,Burr Steers,Comedy|Drama|Family|Fantasy|Romance,17 again,Matthew Perry Hunter Parrish Thomas Lennon Burr Steers Comedy|Drama|Family|Fantasy|Romance
Don Johnson,Kate Upton,David Thornton,Nick Cassavetes,Comedy|Romance,the other woman,Don Johnson Kate Upton David Thornton Nick Cassavetes Comedy|Romance
Krista Allen,Andrew Fiscella,Shantel VanSanten,David R. Ellis,Horror,the final destination,Krista Allen Andrew Fiscella Shantel VanSanten David R. Ellis Horror
Tom Hanks,Mark Rylance,Amy Ryan,Steven Spielberg,Drama|History|Thriller,bridge of spies,Tom Hanks Mark Rylance Amy Ryan Steven Spielberg Drama|History|Thriller
Joaquim de Almeida,David Keith,Sam Jaeger,John Moore,Action|Drama|Thriller|War,behind enemy lines,Joaquim de Almeida David Keith Sam Jaeger John Moore Action|Drama|Thriller|War
Pink,Mario Lopez,Lino Facioli,Nicholas Stoller,Comedy|Music,get him to the greek,Pink Mario Lopez Lino Facioli Nicholas Stoller Comedy|Music
Lisa Ann Walter,Nick Cannon,Omar Benson Miller,Peter Chelsom,Comedy|Drama|Romance,shall we dance,Lisa Ann Walter Nick Cannon Omar Benson Miller Peter Chelsom Comedy|Drama|Romance
Kirsten Dunst,Denis Leary,Robert Picardo,Joe Dante,Action|Adventure|Comedy|Family|Sci-Fi,small soldiers,Kirsten Dunst Denis Leary Robert Picardo Joe Dante Action|Adventure|Comedy|Family|Sci-Fi
Michael Jai White,Frank Welker,Miko Hughes,Mark A.Z. Dippé,Action|Horror,spawn,Michael Jai White Frank Welker Miko Hughes Mark A.Z. Dippé Action|Horror
Henry Cavill,James Frain,Michael Wincott,Kevin Reynolds,Action|Adventure|Drama|Romance|Thriller,the count of monte cristo,Henry Cavill James Frain Michael Wincott Kevin Reynolds Action|Adventure|Drama|Romance|Thriller
Matthew McConaughey,Margarita Levieva,Frances Fisher,Brad Furman,Crime|Drama|Thriller,the lincoln lawyer,Matthew McConaughey Margarita Levieva Frances Fisher Brad Furman Crime|Drama|Thriller
Liam Neeson,Frank Langella,Aidan Quinn,Jaume Collet-Serra,Action|Mystery|Thriller,unknown,Liam Neeson Frank Langella Aidan Quinn Jaume Collet-Serra Action|Mystery|Thriller
Christian Bale,Hugh Jackman,Scarlett Johansson,Christopher Nolan,Drama|Mystery|Sci-Fi|Thriller,the prestige,Christian Bale Hugh Jackman Scarlett Johansson Christopher Nolan Drama|Mystery|Sci-Fi|Thriller
Kevin Spacey,Christoph Waltz,Lindsay Sloane,Sean Anders,Comedy|Crime,horrible bosses 2,Kevin Spacey Christoph Waltz Lindsay Sloane Sean Anders Comedy|Crime
Brendan Fraser,Paul Scheer,Jonathan Morgan Heit,Cal Brunker,Adventure|Animation|Comedy|Family|Sci-Fi,escape from planet earth,Brendan Fraser Paul Scheer Jonathan Morgan Heit Cal Brunker Adventure|Animation|Comedy|Family|Sci-Fi
Rudy Youngblood,Dalia Hernández,Jonathan Brewer,Mel Gibson,Action|Adventure|Drama|Thriller,apocalypto,Rudy Youngblood Dalia Hernández Jonathan Brewer Mel Gibson Action|Adventure|Drama|Thriller
Joe Don Baker,Desmond Llewelyn,Art Malik,John Glen,Action|Adventure|Thriller,the living daylights,Joe Don Baker Desmond Llewelyn Art Malik John Glen Action|Adventure|Thriller
Topher Grace,Alice Braga,Derek Mears,Nimród Antal,Action|Adventure|Sci-Fi|Thriller,predators,Topher Grace Alice Braga Derek Mears Nimród Antal Action|Adventure|Sci-Fi|Thriller
Brian Dennehy,Debra Winger,Roscoe Lee Browne,Ivan Reitman,Comedy|Crime|Romance,legal eagles,Brian Dennehy Debra Winger Roscoe Lee Browne Ivan Reitman Comedy|Crime|Romance
Johnny Depp,Charles S. Dutton,Timothy Hutton,David Koepp,Mystery|Thriller,secret window,Johnny Depp Charles S. Dutton Timothy Hutton David Koepp Mystery|Thriller
Keanu Reeves,Dylan Walsh,Ebon Moss-Bachrach,Alejandro Agresti,Drama|Fantasy|Romance,the lake house,Keanu Reeves Dylan Walsh Ebon Moss-Bachrach Alejandro Agresti Drama|Fantasy|Romance
Gena Rowlands,Deneen Tyler,Joy Bryant,Iain Softley,Horror|Mystery|Thriller,the skeleton key,Gena Rowlands Deneen Tyler Joy Bryant Iain Softley Horror|Mystery|Thriller
Jennifer Garner,Odeya Rush,Common,Peter Hedges,Comedy|Drama|Family|Fantasy,the odd life of timothy green,Jennifer Garner Odeya Rush Common Peter Hedges Comedy|Drama|Family|Fantasy
Busy Philipps,Beau Garrett,Kevin Sussman,Paul Weiland,Comedy|Romance,made of honor,Busy Philipps Beau Garrett Kevin Sussman Paul Weiland Comedy|Romance
Johnny Cannizzaro,Steve Schirripa,Scott Vance,Clint Eastwood,Biography|Drama|Music|Musical,jersey boys,Johnny Cannizzaro Steve Schirripa Scott Vance Clint Eastwood Biography|Drama|Music|Musical
Matt Damon,Dean Stockwell,Virginia Madsen,Francis Ford Coppola,Crime|Drama|Thriller,the rainmaker,Matt Damon Dean Stockwell Virginia Madsen Francis Ford Coppola Crime|Drama|Thriller
Robert Downey Jr.,Charles S. Dutton,Bernard Hill,Mathieu Kassovitz,Horror|Mystery|Thriller,gothika,Robert Downey Jr. Charles S. Dutton Bernard Hill Mathieu Kassovitz Horror|Mystery|Thriller
Anthony Hopkins,Morgan Freeman,Matthew McConaughey,Steven Spielberg,Drama|History,amistad,Anthony Hopkins Morgan Freeman Matthew McConaughey Steven Spielberg Drama|History
Lorraine Bracco,José Wilker,Sean Connery,John McTiernan,Adventure|Drama|Romance,medicine man,Lorraine Bracco José Wilker Sean Connery John McTiernan Adventure|Drama|Romance
Sam Trammell,Johnny Lewis,Ian Whyte,Colin Strause,Action|Horror|Sci-Fi|Thriller,aliens vs. predator: requiem,Sam Trammell Johnny Lewis Ian Whyte Colin Strause Action|Horror|Sci-Fi|Thriller
